title,meta_tags
The Long Kiss Goodnight,crime action mystery thriller assassination amnesia hostage chase dark comedy teacher escape single mother timebomb candlelight vigil rogue agent street shootout ex cia agent christmas parade samantha caine suburban homemaker ideal mom 8 year old daughter caitlin life honesdale pa job teaching school make best rice krispie treat town receives bump head begin remember small part previous life lethal top secret agent
Proof of Life,action adventure drama romance thriller hostage new love suspense agent alice hire professional negotiator obtain release engineer husband kidnapped anti government guerrilla south america
Zathura: A Space Adventure,family fantasy science fiction adventure adventure house alien giant robot outer space astronaut father called work two young boy walter danny left care teenage sister lisa told must stay inside anticipate boring day shocked begin playing zathura space themed board game realize mystical power house shot help astronaut attempt return home
Fight Club,drama support group dual identity nihilism rage and hate insomnia dystopia violence ticking time bomb insomniac slippery soap salesman channel primal male aggression shocking new form therapy concept catch underground fight club forming every town eccentric get way ignites control spiral toward oblivion
We Are Marshall,drama american football 1970s trainer college sport plane crash claim life member marshall university football team fan new coach surviving player try keep program alive
Hudson Hawk,action adventure comedy vatican leonardo da vinci painting master thief eddie hawkins called hudson hawk released ten year prison planning spend rest life honestly crazy mayflower couple blackmail steal work leonardo da vinci refuse threaten kill friend tommy
Lucky Numbers,action adventure comedy crime romance thriller weather forecast tv station weather lottery wettermann debt woman director rus richards tv weatherman local celebrity verge losing shirt desperate escape financial ruin scheme crystal station lotto ball girl rig state lottery drawing number come right everything else go wrong plan start unravel game turn rough
"I, Frankenstein",horror thriller soul queen anti hero fantasy prince supernatural frankenstein good v evil gargoyle fighting demon dark imax 3d 200 year shocking creation dr frankenstein creature adam still walk earth find middle war fate humanity discovers hold key could destroy humankind
Oliver Twist,crime drama family london england child abuse street gang runaway child labour child 's home orphanage thief violence good and bad child oliver twist modern filmed version charles dickens bestseller roman polanski adaptation classic tale orphan meet pickpocket street london join household boy trained steal master
Elektra,action fantasy martial art based on comic book female assassin spin off elektra warrior survives near death experience becomes assassin hire try protect two latest target single father young daughter group supernatural assassin
Sin City: A Dame to Kill For,crime thriller detective dystopia dominatrix murder suspense twin based on graphic novel dark horse comic neo-noir 3d sin city hard boiled citizen cross path reviled inhabitant
Random Hearts,drama romance infidelity politician airplane crash death death of husband police sergeant death of wife death loved one tragic plane crash harrison ford kristin scott thomas find others key posessions realize affair must figure detail written andy heitzthe wife police sergeant dutch van den broek husband politician kay chandler killed discovers anomaly told left travelling together go tell suspect want know truth later join grow close
Everest,adventure drama mountain snow storm hiking climbing snow death blizzard mountain climbing based on true event mount everest 3d inspired incredible event surrounding treacherous attempt reach summit world highest mountain everest document awe inspiring journey two different expedition challenged beyond limit one fiercest snowstorm ever encountered mankind mettle tested harshest element found planet climber face nearly impossible obstacle lifelong obsession becomes breathtaking struggle survival
Perfume: The Story of a Murderer,crime fantasy drama paris female nudity prostitute small town obsession orgy bad smell nudity lone wolf lavender nose child prodigy fish market daughter supernatural genius child 's home death perfume jean baptiste grenouille born stench 18th century paris develops superior olfactory sense us create world finest perfume however work take dark turn try preserve scent search ultimate perfume
Austin Powers in Goldmember,comedy crime science fiction saving the world submarine brother brother relationship clone spy helicopter gold submachine gun asteroid undercover belgium dutch car journey nightclub laser sumo ringer family history auto clowning overweight man conciliation james bond spoof duringcreditsstinger world shagadelic spy continues fight dr evil time diabolical doctor clone mini team new foe 70 kingpin goldmember pursuing villain stop domination austin get help dad old girlfriend
Astro Boy,animation action family science fiction superhero set futuristic metro city astro boy young robot incredible power created brilliant scientist image son lost unable fulfill grieving man expectation hero embarks journey search acceptance experiencing betrayal netherworld gladiator return save reconcile father rejected
Jurassic Park,adventure science fiction exotic island dna paleontology tyrannosaurus rex triceratops brontosaurus electric fence island dinosaur amusement park theme park jurassic park wealthy entrepreneur secretly creates theme park featuring living dinosaur drawn prehistoric dna opening day invite team expert two eager grandchild experience help calm anxious investor however anything amusing security system go line escape
Wyatt Earp,drama action western gunslinger gambling sheriff deputy sheriff wretch wyatt earp historical figure doc holliday covering life time one west iconic hero wyatt earp weave intricate tale friend family star studded cast sweeping cinematography authentic costume led way western revival 90
Clear and Present Danger,action drama thriller assassination spy ambush cia helicopter based on novel usa president sniper fbi colombia drug traffic bomber mission of murder mercenary insurgence coast guard spying war car bomb drug cartel conspiracy shootout infantry violence jack ryan political cover-up cia analyst jack ryan drawn illegal war fought u government colombian drug cartel
Dragon Blade,action drama adventure huo commander protection squad western region framed evil force becomes enslaved hand roman general escape china rescuing prince heroic duo meet desert thrilling story unfolds
Little Man,comedy crime baby adoption married couple small person criminal leaving prison dwarf criminal calvin sims join moron brother percy steal expensive huge diamond jewelry mobster walken chased police hide stone purse executive vanessa edward whose husband darryl want baby convinces dress like left front house get inside retrieve keep weekend decide adopt threatens back
U-571,action drama thriller war submarine world war ii north atlantic mission midst world war ii battle sea rage nazi upper hand ally unable crack code however wrecked u boat sends so signal realise chance seize enigma coding machine
The American President,comedy drama romance white house usa president new love widower wildlife conservation widowed u president andrew shepherd one world powerful men anything want covets sydney ellen wade washington lobbyist attempt courting spark wild rumor decimate approval rating
The Love Guru,comedy romance sport ice hockey guru comedy bollywood india spiritualist broken heart self-help stanley cup chastity ashram expert born america raised indian ashram pitka return native land seek fortune spiritualist self help expert skill put test must get brokenhearted hockey player marriage back track time man team win stanley cup
3000 Miles to Graceland,action adventure comedy thriller crime casino submachine gun hold-up robbery elvis reference to elvis presley duringcreditsstinger ingenious enough plan rob riviera casino count room elvis impersonator convention thomas murphy decided keep money shot partner including recently freed ex con michael zane 3 2 million stake marshal service closing must track
The Hateful Eight,crime drama mystery western bounty hunter wyoming mountain narration hangman stagecoach blizzard post civil war bounty hunter seek shelter raging blizzard get caught plot betrayal deception
Blades of Glory,action comedy drama competition olympic game sport rivalry ice skating much publicized ice skating scandal strip gold medal two world class athlete skirt way back onto via loophole allows compete together pair team
Hop,animation comedy family coup d'etat slacker easter easter bunny aftercreditsstinger live action and animation e b easter bunny teenage son head hollywood determined become drummer rock n roll band la taken fred work slacker hit car
300,action adventure war evisceration javelin shield army fall from height ancient world s.a.t . minion based frank miller graphic novel 300 loosely 480 b c battle thermopylae king sparta led army advancing persian said inspired greece band together helped usher world first democracy
Meet the Fockers,comedy romance cia parent kid relationship florida anti-authoritarian upbringing jew parents-in-law orderly just married sex therapy bad father-in-law family illegitimate son hard crack ex cia man jack byrnes wife dina head warmer clime florida meet son law greg focker parent unlike happily matched offspring future law find situation opposite definitely attract
Marley & Me,comedy family journalist based on novel puppy dog duringcreditsstinger columnist animal lead newly married couple process starting family learn many life important lesson trouble loving retriever marley packed plenty laugh lighten load film explores high low marriage maturity confronting one mortality seen lens dog
The Green Mile,fantasy drama crime southern usa black people mentally disabled based on novel heal death row jail guard great depression prison guard electric chair magic realism healing death row inmate 1930s supernatural tale set death row southern prison gentle giant john coffey possesses mysterious power heal people ailment cellblock head guard paul edgecomb recognizes miraculous gift try desperately help stave condemned man execution
Wild Hogs,action adventure comedy midlife crisis road trip politically incorrect motorcycle gang biker film awkwardness travel writer middle age middle aged man restless ready adventure four suburban bikers leave safety subdivision head open road complication ensue cross path intimidating band new mexico known del fuego
Chicken Little,animation family comedy fish small town space marine chicken alien best friend alien invasion animal duringcreditsstinger 3d sky really falling sanity flown coop rise save day together hysterical band misfit friend chicken little must hatch plan planet alien invasion prove world biggest hero
Gone Girl,mystery thriller drama based on novel marriage crisis disappearance cheating husband missing person search party criminal lawyer wife murder murder suspect missing wife wife disappearance become focus intense medium circus man see spotlight turned suspected may innocent
The Bourne Identity,action drama mystery thriller paris barcelona spain assassin based on novel secret identity amnesia sniper passport mission of murder lover escape shootout foot chase cell phone car chase multiple identity surveillance camera hamburg germany fishing boat langley virginia safe deposit box flashback hand to hand combat wounded brink death suffering amnesia jason bourne rescued sea fisherman nothing go swiss bank account number start reconstruct life find many people encounter want dead however realizes combat mental skill world class spy work
GoldenEye,adventure action thriller cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army james bond must unmask mysterious head janus syndicate prevent leader utilizing goldeneye weapon system inflict devastating revenge britain
The General's Daughter,crime drama mystery thriller suicide detective based on novel bondage general paranoia nudity u.s. army investigation politics cover-up murder betrayal conspiracy gang rape father daughter relationship videotape military law body army capt elizabeth campbell found georgia military base two investigator warrant officer paul brenner sara sunhill ordered solve murder uncover anything clear cut unseemly detail emerge life leading allegation possible coverup death involvement father lt gen joseph
The Truman Show,comedy drama claustrophobia hidden camera dystopia reality show make believe pretend truman burbank star show 24 hour day reality tv broadcast every aspect life live color without knowledge entire unending soap opera consumption rest world everyone know including wife best friend really actor paid part
The Prince of Egypt,adventure animation drama family music moses egypt pyramid exodus kingdom governance ancient egypt hebrew pharaoh woman director extraordinary tale two brother named moses ramses one born royal blood orphan secret past growing best friend share strong bond free spirited youth good natured rivalry truth ultimately set odds becomes ruler powerful empire earth chosen leader people final confrontation forever change life world
Daddy Day Care,comedy family competition success kindergarten child unemployment two men get laid become stay home dad find job inspires open day care center
2 Guns,action comedy crime undercover undercover agent based on comic book money fugitive bank robbery dea agent dea agent undercover naval intelligence officer tasked investigating one another find set mob organization two men believe stealing money
Cats & Dogs,comedy family fight governance puppy allergy 3d professor develops vaccine eliminates human allergy dog unwittingly upset fragile balance power cat touch epic battle pet supremacy fur fly feline faction led mr tinkle square wide eyed puppy lou canine cohort
The Italian Job,action crime venice california train station helicopter austria mountain gold subway hacker chase safe remake caper revenge murder heist double crossed fast car boat chase los angeles explosion convict father daughter relationship car chase tv news hollywood sign television repair mini cooper charlie croker pulled crime lifetime one thing plan double crossed along drop dead gorgeous safecracker team take steal loot end pulse pounding pedal metal chase careen street los angeles
Two Weeks Notice,romance comedy new york parish hall romantic comedy lawyer billionaire environmental law dedicated environmental lawyer lucy kelson go work billionaire george wade part deal preserve community center indecisive weak willed grows dependent guidance everything legal matter clothing exasperated give notice pick harvard graduate june carter replacement time firm nears end jealous second thought leaving
Antz,adventure animation comedy family general hero worker ant work assignment war princess soldier individuality friend animated hit neurotic worker ant love rebellious princess rise unlikely stardom switch place soldier signing march parade end command bloodthirsty general actually enlisted fight termite army
Couples Retreat,comedy romance island married couple yoga tahiti couple therapy beautiful woman tropical aftercreditsstinger duringcreditsstinger french polynesia polynésie française four couple friend descend tropical island resort though one husband wife work marriage others want enjoy fun sun soon find however paradise come price participation therapy session mandatory started cut rate vacation turn examination common problem many face
Days of Thunder,adventure stock-car-race daytona car crash talented unproven stock car driver cole trickle get break guidance veteran harry hogge turn head track young hotshot develops rivalry fellow racer threatens career two smash car help doctor might overcome injury fear
Cheaper by the Dozen 2,comedy holiday lake big family father labor pain rivalry family holiday steve martin bonnie hunt return head baker family vacation find competition rival eight child headed eugene levy
Maze Runner: The Scorch Trials,action based on novel resistance maze post-apocalyptic dystopia infection on the run escape zombie storm disease desert sewer antidote corporation virus runner city ruin immunity thomas fellow gladers face greatest challenge yet searching clue mysterious powerful organization known wckd journey take scorch desolate landscape filled unimaginable obstacle teaming resistance fighter take vastly superior force uncover shocking plan
Eat Pray Love,drama indonesia female protagonist india divorce bali liz gilbert everything modern woman supposed dream husband house successful career yet like many others found lost confused searching really wanted life newly divorced crossroad step comfort zone risking change embarking journey around world becomes quest self discovery travel discovers true pleasure nourishment eating italy power prayer india finally unexpectedly inner peace balance love bali
The Family Man,comedy drama romance fantasy workaholic second chance guardian angel christmas career v family life reprioritizing jack lavish fast paced lifestyle change one christmas night stumble grocery store holdup disarms gunman next morning wake bed lying kate college sweetheart left order pursue career horrifying discovery former life longer exists alternate suburban universe find crossroad must choose high power woman love
RED,action adventure comedy crime thriller cia retirement shot to death sniper rifle retired female spy alarm peaceful life threatened high tech assassin former black ops agent frank moses reassembles old team last ditch effort survive uncover assailant
Any Given Sunday,drama american football trainer training american football coach sport american football stadium star quarterback get knocked game unknown third stringer called replace give stunning performance force aging coach reevaluate plan life new co owner president add pressure winning must prove self male dominated world
The Horse Whisperer,drama romance love triangle new york montana attachment to nature confidence horseback riding horse riding accident career woman ranch horse whisperer trauma country life marriage crisis crisis travel mother daughter relationship animal nature based novel name nicholas evans talented robert redford present meditative family drama set country side directs also star roll cowboy magical talent healing
Collateral,drama crime thriller california taxi assassin hostage taxi driver fbi hitman police los angeles murderer crime criminal gun violence cab driver max pick man offer 600 drive around promise easy money sour realizes fare assassin
The Scorpion King,action fantasy adventure egypt temple ancient egypt peasant mathayus hired exact revenge powerful memnon sorceress cassandra ready overtake balthazar village amid betrayal thief abduction strives bring justice complicated world
Ladder 49,drama action thriller ledge practical joke watchful eye mentor captain mike kennedy probationary firefighter jack morrison matures seasoned veteran baltimore fire station however reached crossroad sacrifice made put harm way innumerable time significantly impacted relationship wife kid
Jack Reacher,crime drama thriller based on novel sniper investigation police quarry innocent heartland city five shot dead expert sniper police quickly identify arrest culprit build slam dunk case accused man claim say get jack reacher see news report turn defense immensely relieved come bury guy shocked request set confirm absolute certainty guilt come bargained
Deep Blue Sea,action science fiction thriller shark attack shark alzheimer 's disease killer shark no opening credit remote former submarine refueling facility called aquatica team scientist searching cure alzheimer disease dr susan mcalester genetically engineer three mako shark intending increase brain capacity harvest tissue unfortunately increased also make smarter faster dangerous financial backer skeptical nervous test send corporate executive visit
This Is It,music documentary pop star music concert aftercreditsstinger duringcreditsstinger compilation interview rehearsal backstage footage michael jackson prepared series sold show london
Contagion,drama thriller science fiction saving the world mutation infection terminal illness quarantine outbreak medical vaccine lethal virus scientist epidemic epidemic lethal airborne virus kill within day rapidly grows worldwide medical community race find cure control panic spread faster
Kangaroo Jack,comedy adventure crime money delivery fool australia hoodlum kangaroo two childhood friend new york hairstylist wan na musician get mixed mob forced deliver 50 000 australia thing go wrong money lost wild kangaroo
Coraline,animation family dream eye stuffed animal parallel world button new home secret door aftercreditsstinger duringcreditsstinger coraline move old house feel bored neglected parent find hidden door bricked passage night cross parallel world everybody button instead eye caring dream coming true mother invite stay forever girl refuse alternate reality trapped trick lure
The Happening,thriller science fiction tree natural disaster crisis park strange behavior deadly airborne virus threatens wipe northeastern united state teacher elliott moore mark wahlberg wife zooey deschanel flee contaminated city countryside fight discover truth terrorism accidental release toxic military bio weapon something even sinister john leguizamo betty buckley co star thriller writer director night shyamalan
Man on Fire,action drama thriller crime mexico cia kidnapping diary bible bodyguard stuffed animal cell phone alcoholic grenade launcher bloodshed swim meet jaded ex cia operative john creasy reluctantly accepts job bodyguard 10 year old girl mexico city clash first eventually bond kidnapped consumed fury stop nothing save life
The Shaggy Dog,comedy family father son relationship parent kid relationship workaholic wife husband relationship transformation body exchange daughter lawyer dog family turn into animal tale workaholic dad turned dog find man best friend show important job great
Starsky & Hutch,comedy crime informant jumping from a rooftop surveillance footage join uptight david starsky laid back ken hutch hutchinson paired first time undercover cop new partner must overcome difference solve important case help street informant huggy bear persuasive criminal reese feldman
Jingle All the Way,family comedy holiday christmas party santa claus toy puppet christmas turboman navidad meet howard langston salesman mattress company constantly busy job also disappoints son miss karate exposition tell want christmas action figure television hero try hard make unfortunately eve every store sold turbo man must travel town compete everybody else find
Hellboy,fantasy action science fiction black magic fistfight cover-up superhero paranormal phenomenon narration from grave demon occult combat photography reanimated corpse duringcreditsstinger final day world war ii nazi attempt use black magic aid dying cause ally raid camp ceremony taking place demon hellboy already conjured joining allied force eventually grows adulthood serving good rather evil
A Civil Action,drama success advancement right and justice leukemia lawyer business start-up jan schlickmann cynical lawyer go get rid case find potentially worth million becomes obsession extent willing give everything including career client goal order continue odds
ParaNorman,family animation adventure comedy medium stop motion curse jock ghost communicating with the dead aftercreditsstinger dealing with the past witch trial child witch empathy strange town blithe hollow norman babcock boy speak dead one besides eccentric new friend neil belief ability real day estranged uncle tell important annual ritual must take protect curse cast witch condemned century ago eventually decides cooperate thing go according plan magic storm threatens accursed rise together unexpected companion struggle save discover horrific truth insight resolve crisis good
The Jackal,action thriller adventure crime fbi cold war hitman hired powerful member russian mafia avenge fbi sting left brother dead perfectionist jackal prof elusive target men charged task bringing deputy bos former ira terrorist
Paycheck,action adventure mystery science fiction thriller prophecy engineer scientist millionaire michael jennings genius hired paid handsomely high tech firm work highly sensitive project short term memory erased incapable breaching security end three year job told getting paycheck instead receives mysterious envelope clue must piece together find hot water
Up Close & Personal,drama romance miami television career vitamin b reporter tally atwater dream prime time network newscaster pursues nothing ambition raw talent homemade demo tape warren justice brilliant hard edged veteran newsman see becomes mentor career take meteoric rise fall love romance result intense revealing television news yet breaking story every videotaped crisis brings together also threatens drive apart
The Tale of Despereaux,adventure animation family loyalty totalitarian regime mouse forgiveness honor unlikely friendship courage chivalry animal lead upon time far away kingdom dor lived brave virtuous mouse comically oversized ear dreamt becoming knight banished home lofty ambition despereaux set amazing adventure good hearted rat friend roscuro lead long last noble quest rescue endangered princess save entire darkness
The Tuxedo,thriller action comedy science fiction bomb intelligence chauffeur wound secret agent head injury cabbie turned chauffeur jimmy tong learns really one rule work playboy millionaire clark devlin never touch prized tuxedo temporarily put commission explosive accident put tux soon discovers extraordinary suit may black belt tie paired partner inexperienced becomes unwitting secret agent
Under Siege 2: Dark Territory,action thriller terrorist pentagon satellite navy seal train passenger train hijacked electronics expert turned untraceable command center weapon satellite planned blow washington dc one man stop former navy seal casey ryback
Jack Ryan: Shadow Recruit,action drama thriller london england corruption cia terrorist sniper explosive intelligence russia murder conspiracy surveillance agent jack ryan u.s. marine rehab analyst jack ryan young covert cia analyst uncovers russian plot crash u economy terrorist attack
Joy,drama comedy factory inventor strong woman biography based on true story stolen patent story based life struggling long island single mom became one country successful entrepreneur
London Has Fallen,action crime thriller london england terrorist terrorist attack london prime minister funeral mike banning discovers plot assassinate attending world leader
Alien: Resurrection,science fiction horror action android mercenary dystopia sequel alien betrayal impalement cloning scientist flamethrower disembowelment smuggler gene manipulation man in wheelchair breeding genetic engineering regeneration xenomorph alien queen explosive decompression swimming underwater two hundred year lt ripley died group scientist clone hoping breed ultimate weapon new full surprise alien must team band smuggler keep creature reaching earth
Shooter,action drama mystery thriller crime corruption sniper senator conspiracy of murder childlessness rifle sniper rifle fbi agent marksman living exile coaxed back action learning plot kill president ultimately double crossed framed attempt go run track real killer find exactly set
The Boxtrolls,animation comedy family fantasy based on novel stop motion father daughter relationship unlikely friendship duringcreditsstinger orphaned boy raised underground creature called boxtrolls come sewer box save family town evil exterminator archibald snatcher
Practical Magic,drama fantasy comedy witch magic sorcery love curse family curse sally gillian owen born magical family mostly avoided witchcraft vicious boyfriend jimmy angelov dy unexpectedly sister give crash course hard magic policeman gary hallet growing suspicious girl struggle resurrect unwittingly inject corpse evil spirit threatens end line
The Lego Movie,adventure animation comedy family fantasy father son relationship creativity friendship part live action toy based on toy falling in love super power duringcreditsstinger different world lego batman ordinary lego mini figure mistakenly thought extraordinary masterbuilder recruited join quest stop evil tyrant gluing universe together
Miss Congeniality 2: Armed and Fabulous,action comedy ransom press conference ship miss america fbi agent triumph miss united state pageant fbi agent gracie hart becomes overnight sensation new face time spring action winner cheryl emcee stan abducted
Reign of Fire,adventure action fantasy dragon evolution fire chief animated map theatre audience dragonslayer tunnel construction fire repellent drilling iodine post apocalyptic england american volunteer british survivor team fight brood fire breathing dragon seeking return global dominance century rest underground brit leading clan survivor hunt king much stake mother killed dragon love still alive
Gangster Squad,crime drama action thriller los angeles gangster los angeles 1949 ruthless brooklyn born mob king mickey cohen run show town reaping ill gotten gain drug gun prostitute way every wire bet placed west chicago protection paid goon also police politician control enough intimidate even bravest street hardened cop except perhaps small secret crew lapd outsider led sgt john mara jerry wooters come together try tear world apart
Year One,comedy adventure temple slavery stone age circumcision hebrew caveman prehistoric adventure duringcreditsstinger prehistoric time prehistoric man couple lazy hunter gatherer banished primitive village set epic journey ancient world
Invictus,drama history stadium south africa apartheid nelson mandela sport nation rugby president racism poverty celebration duringcreditsstinger newly elected president nelson mandela know nation remains racially economically divided wake apartheid believing bring people together universal language sport rally south africa rugby team make historic run 1995 world cup championship match
State of Play,action corruption assassination detective journalist assassin newspaper congress editor-in-chief conspiracy of murder politics election campaign government murder thriller blog reporter handsome unflappable u congressman stephen collins future political party honorable appointee serf chairman committee overseeing defense spending eye upon rising star contender upcoming presidential race research assistant mistress brutally murdered buried secret come tumbling
Duplicity,romance comedy crime spy two romantically engaged corporate spy team manipulate race corner market medical innovation reap huge profit enable lead extravagant lifestyle together
My Favorite Martian,comedy drama family science fiction alien martian based on tv series fish out of water news producer tim hara get fired unwillingly compromising boss daughter live transmission little later witness crashing small martian spacecraft realizing one time chance delivering story rock earth since took original scaled spaceship follows retrieve
The Sentinel,action thriller crime usa president agent secret service agent framed mole assassination attempt president must clear name foil another run relentless fbi
Planet 51,science fiction animation family comedy adventure flying saucer alien life-form spaceship alien alien planet planet duringcreditsstinger earth astronaut capt chuck baker arrives planet 51 world reminiscent american suburbia circa 1950 try avoid capture recover spaceship make home safely help empathetic little green
Star Trek: Nemesis,science fiction action adventure thriller clone assassination ambush federation starfleet enterprise-e romulus android senate self sacrifice telepathy weapon romulans space opera en route honeymoon william riker deanna troi home planet betazed captain jean luc picard crew u enterprise receives word starfleet coup resulted installation new romulan political leader shinzon claim seek peace human backed united federation planet enemy territory make startling discovery slave sister remus secret shocking relationship
Intolerable Cruelty,crime comedy romance california assassin infidelity fetish hitman tycoon court satire lawyer inheritance divorce revenge seeking gold digger marries womanizing beverly hill lawyer intention making killing divorce
Trouble with the Curve,drama romance woman baseball pitcher home run aging sport talent-scout cigar smoking poor eyesight boston red sox draft motel room baseball scout failing eyesight blurry vision blurred sight slowed age failing eyesight crack baseball scout gu lobel take grown daughter along check final prospect career way two renew bond catch eye young player turned
Edge of Darkness,crime drama mystery thriller murder violence death of daughter homicide detective seasoned homicide detective thomas craven seen bleakest side humanity nothing prepares toughest investigation life search daughter emma killer personal mission uncover disturbing secret surrounding murder including corporate corruption government collusion mysterious
The Relic,horror mystery thriller chicago based on novel monster museum pile of dead body god dead body anthropologist indian tribe amazon jungle researcher chicago natural history museum return south america crate containing finding arrive without owner appears little inside however police discover gruesome murder cargo ship brought u another murder
Analyze That,comedy crime prison gold therapist gangster mafia paul vitti back prison need serious counseling get naturally return analyst dr ben sobel help find need inherited family practice well excess stock stress
Righteous Kill,action crime drama thriller revenge murder plot twist dirty cop two veteran new york city detective work identify possible connection recent murder case believe solved year ago serial killer loose perhaps put wrong person behind bar
Mercury Rising,action crime drama thriller assassin loss of family autism fbi bangkok national security agency ( nsa ) boy child in peril fbi agent autistic savant renegade fbi agent art jeffries protects nine year old autistic boy cracked government new unbreakable code
The Soloist,drama newspaper cello musical violin los angeles los angeles journalist befriends homeless juilliard trained musician looking new article paper
The Legend of Bagger Vance,fantasy drama competition world war i great depression caddy savannah world war left golfer rannulph junuh poker playing alcoholic perfect swing gone however need get back play tournament save financially ravaged golf course long ago sweetheart help arrives form mysterious caddy bagger vance
Almost Famous,drama music hotel room san diego drug addiction stewardess overdose groupie music journalist black sabbath rock concert swimming pool based on true story promiscuity coming of age on the road domineering mother reconciliation semi autobiographical innocence lost bus trip aspiring writer almost famous autobiographical inspired film 15 year old hired rolling stone magazine follow interview rock band tour growing first love disappointment life star
Garfield: A Tail of Two Kitties,animation comedy family london england cat mistake in person luxury wretch nobility garfield garfield back time canine sidekick odie follows owner jon arbuckle england u k may never recover mistaken look alike regal cat inherited castle
xXx: State of the Union,action adventure crime drama mystery thriller washington d.c. helicopter usa president general coup d'etat military prison coup agent insurgent secretary of defense potus ice cube star darius stone thrill seeking troublemaker whose criminal record extreme sport obsession make perfect candidate newest xxx agent must save u government deadly conspiracy led five star general secretary defense george deckert played willem dafoe
Priest,action science fiction fantasy thriller horror vampire crucifixion post-apocalyptic dystopia vampire hunter disobey niece dark hero alternate world humanity vampire warred century last vampire war veteran warrior priest life obscurity human inside one church walled city niece kidnapped break vow hunt accompanied boyfriend wasteland sheriff former priestess
Sinbad: Legend of the Seven Seas,family animation adventure prince water monster sailor legend framed goddess eris theft book peace must travel realm end world retrieve save life childhood friend prince proteus
Event Horizon,horror science fiction mystery space marine nudity nightmare hallucination cryogenics space travel black hole insanity delusion crew alternate dimension evil spirit hellgate religion explosion violence burning man rescue team flashback supernatural power trapped in space distress signal derelict ship year 2047 group astronaut sent investigate salvage long lost starship event horizon ship disappeared mysteriously 7 year maiden voyage return come even mystery crew lewis clark discover real truth behind disappearance something terrifying
Dragonfly,drama pregnancy and birth voice dragonfly car crash jungle hospital doctor humanitarian spiritism grieving doctor contacted late wife patient near death experience
The Black Dahlia,drama pornography observer los angeles murder hunt lee blanchard bucky bleichert former boxer turned cop 1940s los angeles aspiring young actress turn dead must grapple corruption narcissism stag film family madness pursue killer
Flyboys,action adventure drama history romance war world war i biplane adventure lafayette escadrille young american volunteered french military u entered world war became country first fighter pilot
The Last Castle,action drama thriller prison general court martialed general rally together 1200 inmate rise system put away
Supernova,horror science fiction thriller black people starship future star supernova blast set 22nd century battered salvage ship sends distress signal seasoned crew rescue hospital nova 17 responds find black hole threatens destroy ship mysterious survivor whose body quickly mutates monstrous deadly form
Winter's Tale,drama fantasy mystery romance based on novel burglar fall heiress dy arm learns gift reincarnation set save
The Mortal Instruments: City of Bones,action adventure drama mystery romance fantasy angel vampire werewolf warlock downworlder shadowhunter demon hunter based on young adult novel new york city clary fray seemingly ordinary teenager learns descended line shadowhunters half angel warrior protect humanity evil force mother disappears join group enters downworld alternate realm filled demon vampire host creature companion must find ancient cup hold key future
Meet Dave,comedy science fiction adventure family new york captain starship new love earth friendship crew car crash space alien survival planet duringcreditsstinger crew miniature alien operate spaceship human form trying save planet encounter new problem ship becomes smitten earth woman
Dark Water,drama horror thriller based on novel water remake teacher divorce apartment ghost manhattan new york city dahlia williams daughter cecelia move rundown apartment new york roosevelt island currently midst divorce proceeding though near excellent school afford time arrives mysterious occurrence constant drip ceiling bedroom
Edtv,comedy tv show tv station simulated reality reality tv tv star tv rating video store clerk ed agrees life filmed camera crew tv network
Inkheart,adventure family fantasy book fairy tale eavesdropping adventure writer 's block adventure father young daughter search long lost book help reunite missing close relative
The Spirit,action comedy thriller crime science fiction secret identity robber mask frog based on comic strip back from the dead mean street man must come hero born murdered rookie cop named denny colt return beyond spirit whose mission fight bad force shadow central city octopus kill anyone unfortunate enough see face plan going wipe entire
Mortdecai,comedy adventure based on novel painting debt art dealer stolen painting art dealer charles mortdecai search stolen painting rumored contain secret code gain access hidden nazi gold
In the Name of the King: A Dungeon Siege Tale,adventure fantasy action drama fictional place monster loss of family new love hero love of one 's life magic fairy tale villain kingdom enchantment bad power son heir to the throne motherly love wizardry revenge royalty family based on video game medieval man named farmer set rescue kidnapped wife avenge death son two act committed krugs race animal warrior controlled evil gallian
Beyond Borders,drama romance adventure war london england cia landmine love of one 's life cambodia ethiopia chechnya foreign aid beyond border epic tale turbulent romance two star crossed lover set backdrop world dangerous hot spot academy award winner angelina jolie star sarah jordan american living london 1984 married henry bauford son wealthy british industrialist encounter nick callahan renegade doctor whose impassioned plea help support relief effort war torn africa move deeply result embarks upon journey discovery lead danger heartbreak far corner
The Monkey King 2,action adventure fantasy monkey king taking place 500 year havoc heaven tang priest appointed buddha go west fetch sacred scripture accidentally free monkey king lady white gong li aiming break team assembled defeat must fight order save world
The Great Raid,action history war based on novel world war ii prisoner of war narration archive footage rescue mission soldier 1940s inspired by true event fictionalized history world war ii rage elite sixth ranger battalion given mission heroic proportion push 30 mile behind enemy line liberate 500 american prisoner
Deadpool,action adventure comedy anti hero mercenary marvel comic superhero based on comic book breaking the fourth wall aftercreditsstinger duringcreditsstinger self healing deadpool tell origin story former special force operative turned mercenary wade wilson subjected rogue experiment leaf accelerated healing power adopts alter ego armed new ability dark twisted sense humor hunt man nearly destroyed life
Holy Man,drama comedy salesclerk television tv rating guru television producer eddie murphy star top television evangelist find way turn home shopping religious experience take america storm
